Nombre;Apellido;Dinero;Direccion;Telefono;Email;Password;N_Pedidos
Carlos;Díaz;8770.85;Calle 29, Ciudad;9908188162;carlos@example.com;PaKqNC0t;4
Laura;Ramírez;4326.45;Calle 79, Ciudad;4583930518;laura@example.com;wnv7Qrss;4
Ana;Ramírez;7940.66;Calle 95, Ciudad;5500413621;ana@example.com;WpTjg6Wp;1
Laura;López;9361.61;Calle 33, Ciudad;9803247307;laura@example.com;fshsxeUm;7
Valeria;Torres;591.6;Calle 82, Ciudad;4342480969;valeria@example.com;H254HsAR;2
Juan;Torres;6359.54;Calle 49, Ciudad;2097322080;juan@example.com;CMGuW3OP;5
Carlos;Sánchez;9296.76;Calle 62, Ciudad;2403889302;carlos@example.com;SyUUf2Ij;4
Sofía;Sánchez;2172.9;Calle 67, Ciudad;9519811671;sofía@example.com;tGsrliPl;2
Juan;Pérez;6806.89;Calle 100, Ciudad;3996702356;juan@example.com;4DYYyX41;4
Carlos;Díaz;1834.01;Calle 41, Ciudad;8138041616;carlos@example.com;hbvNHaj1;4
Carlos;Ramírez;8195.84;Calle 31, Ciudad;2524645364;carlos@example.com;4NXjuqJq;9
Juan;Díaz;6922.36;Calle 43, Ciudad;5211739063;juan@example.com;l7QfEeAx;5
Ana;Rodríguez;4464.98;Calle 97, Ciudad;9758902371;ana@example.com;JpNxFcxE;9
María;Sánchez;3845.71;Calle 51, Ciudad;5813258222;maría@example.com;O9J8uivK;7
Valeria;Martínez;5085.82;Calle 52, Ciudad;5529664842;valeria@example.com;Jd0av897;8
Laura;Martínez;5241.8;Calle 56, Ciudad;0695478476;laura@example.com;rCiCeriG;7
Diego;Pérez;6963.57;Calle 6, Ciudad;5540741345;diego@example.com;bxLRL4GK;5
Juan;Ramírez;7690.56;Calle 67, Ciudad;4492162208;juan@example.com;AF8i8jfo;8
Pedro;Gómez;4752.46;Calle 79, Ciudad;8833300770;pedro@example.com;TjEcQFYr;4
Juan;Pérez;5538.7;Calle 25, Ciudad;7094107279;juan@example.com;Xj5lvV5N;3
Diego;Pérez;185.27;Calle 93, Ciudad;0152188496;diego@example.com;zLOpkWc8;1
Pedro;Martínez;121.82;Calle 9, Ciudad;3079213126;pedro@example.com;p5HrusdM;7
Sofía;Torres;5958.87;Calle 89, Ciudad;8013861422;sofía@example.com;JP67p62w;10
Laura;Pérez;9260.77;Calle 99, Ciudad;3124091560;laura@example.com;PTeNVe2w;6
Diego;Ramírez;6734.86;Calle 45, Ciudad;8809748135;diego@example.com;xtV88k7E;1
Sofía;Fernández;3777.81;Calle 54, Ciudad;0820654924;sofía@example.com;CE87wi0s;1
Luis;Ramírez;4339.05;Calle 12, Ciudad;4071521457;luis@example.com;pCs7SpIt;2
Laura;Ramírez;5512.04;Calle 10, Ciudad;2618311961;laura@example.com;KxpfJZo2;3
Laura;Pérez;8002.19;Calle 12, Ciudad;8225184454;laura@example.com;Cs2nPc7C;4
Juan;Fernández;8869.94;Calle 53, Ciudad;0243257339;juan@example.com;R1S648mE;2
Juan;Fernández;6499.31;Calle 14, Ciudad;5966189378;juan@example.com;rU3zxX4A;4
Carlos;Rodríguez;5725.73;Calle 77, Ciudad;7532144840;carlos@example.com;qU41IscH;9
María;Gómez;1585.53;Calle 44, Ciudad;5553817065;maría@example.com;up6gpttG;1
Diego;Díaz;9808.17;Calle 84, Ciudad;5172890601;diego@example.com;ljYYcSYt;10
Diego;Pérez;8199.94;Calle 9, Ciudad;7944624429;diego@example.com;EbHojWue;2
Juan;López;5781.55;Calle 84, Ciudad;5604626840;juan@example.com;jCmAFqu2;6
Valeria;Díaz;8619.0;Calle 17, Ciudad;9880808625;valeria@example.com;vZFE5C54;1
Diego;Martínez;3142.1;Calle 1, Ciudad;1267596017;diego@example.com;nzbyzlQ0;4
Luis;Martínez;6918.17;Calle 57, Ciudad;5717780972;luis@example.com;uOfDa2G5;4
Carlos;Ramírez;6947.85;Calle 37, Ciudad;8674048510;carlos@example.com;wys6xbnR;7
Laura;Ramírez;7504.29;Calle 41, Ciudad;8639215067;laura@example.com;IWz3S2YY;5
María;Sánchez;6270.77;Calle 1, Ciudad;1686197218;maría@example.com;9J9UvI4G;4
Sofía;Díaz;4189.64;Calle 4, Ciudad;4457382329;sofía@example.com;ZHZIshjp;10
Valeria;Torres;1823.08;Calle 76, Ciudad;1977611077;valeria@example.com;BGMWTLmj;6
Ana;Fernández;775.29;Calle 52, Ciudad;4112245132;ana@example.com;ToSRgdlE;3
Valeria;Pérez;2717.96;Calle 45, Ciudad;9075226648;valeria@example.com;zTfWY8SV;3
María;Fernández;2902.8;Calle 97, Ciudad;5753967710;maría@example.com;4rUQI4xI;3
Pedro;Ramírez;1945.23;Calle 69, Ciudad;2913690051;pedro@example.com;aomAwOK7;1
Diego;Pérez;9867.7;Calle 98, Ciudad;6312073661;diego@example.com;3vVMXw3U;10
Sofía;Sánchez;4969.92;Calle 7, Ciudad;9001968395;sofía@example.com;c4sjRQkf;2
Ana;Sánchez;323.34;Calle 40, Ciudad;4589976955;ana@example.com;Z8Udvzdr;6
Ana;López;9789.15;Calle 42, Ciudad;4645805718;ana@example.com;r49AJqRD;4
Pedro;Rodríguez;9018.83;Calle 17, Ciudad;6052917258;pedro@example.com;bPGBPDx3;5
Pedro;Díaz;3628.39;Calle 51, Ciudad;8565401115;pedro@example.com;A6VesR6U;1
Luis;Díaz;2926.71;Calle 75, Ciudad;9480208611;luis@example.com;7CG0XDyR;1
Valeria;Sánchez;3750.56;Calle 68, Ciudad;5327607188;valeria@example.com;eDyjlrfC;2
María;Pérez;5463.23;Calle 45, Ciudad;3394324164;maría@example.com;pYfMfqWt;7
Laura;Gómez;5867.74;Calle 44, Ciudad;4246311999;laura@example.com;MXqTuzwO;2
Luis;Díaz;8755.88;Calle 3, Ciudad;6311496174;luis@example.com;tyv00aek;7
Carlos;Sánchez;1248.26;Calle 49, Ciudad;1229916257;carlos@example.com;adgKkzDC;3
Carlos;Martínez;6290.81;Calle 81, Ciudad;7717918083;carlos@example.com;VsX2K10o;7
Juan;Fernández;1113.28;Calle 43, Ciudad;4714836840;juan@example.com;HQRS2Y5x;1
Ana;Gómez;5368.2;Calle 46, Ciudad;1145140804;ana@example.com;cbLbsZWi;8
Carlos;Fernández;9673.11;Calle 57, Ciudad;5532920193;carlos@example.com;EBE9REVh;2
